                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 1.2067,                 1.0443,                 1.3876,                0.60681,                0.54383,                0.54944,                0.30417,                 1.5746,                 1.3988,                 1.6318,             0.00054481,             0.00054481,             0.00054481
                    128,                 1.2111,                  1.045,                 1.3881,                0.56813,                0.61676,                0.56304,                0.30603,                 1.6009,                 1.3646,                 1.6247,             0.00053773,             0.00053773,             0.00053773
                    129,                  1.208,                 1.0197,                 1.3872,                0.55308,                0.56575,                 0.5487,                0.30261,                 1.5761,                 1.4078,                 1.6107,             0.00053066,             0.00053066,             0.00053066
                    130,                 1.2002,                 1.0249,                 1.3811,                0.59429,                0.53968,                0.57843,                0.31726,                 1.5719,                 1.4002,                 1.5978,             0.00052359,             0.00052359,             0.00052359
                    131,                  1.214,                 1.0422,                 1.3927,                0.54889,                 0.5191,                0.50944,                0.27711,                 1.6385,                 1.6014,                 1.6934,             0.00051651,             0.00051651,             0.00051651
                    132,                 1.2072,                 1.0212,                 1.3898,                0.59688,                0.55515,                0.57179,                0.31032,                 1.5898,                 1.3913,                 1.6213,             0.00050944,             0.00050944,             0.00050944
                    133,                 1.2052,                 1.0076,                 1.3873,                   0.53,                0.57777,                0.55104,                0.29802,                 1.6282,                 1.4213,                 1.6519,             0.00050236,             0.00050236,             0.00050236
                    134,                 1.1969,                 1.0046,                 1.3791,                0.45826,                 0.6255,                0.54634,                0.30686,                 1.5533,                 1.4015,                 1.5932,             0.00049529,             0.00049529,             0.00049529
                    135,                 1.1814,                0.99182,                 1.3718,                0.60775,                0.57496,                 0.5862,                 0.3207,                 1.5395,                 1.3793,                 1.5817,             0.00048822,             0.00048822,             0.00048822
                    136,                 1.1833,                 1.0041,                 1.3667,                0.57229,                0.58331,                0.57865,                0.32084,                 1.5844,                 1.3826,                 1.6193,             0.00048114,             0.00048114,             0.00048114
